id,facility,cat_id,app_type,exam_day,start_time,site_id,deleted_at
Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1,Group 1
404,1,1,1,fri,9:00 AM,6,Not Deleted
993,1,1,1,fri,09:00A.M,6,Not Deleted
Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2,Group 2
262,1,1,1,mon,1:00 PM,7,3/20/23 19:52
345,1,1,1,mon,1:00 PM,7,Not Deleted
452,1,1,1,mon,1:00 PM,7,7/4/19 22:16
Group 3,Group 3,Group 3,Group 3,Group 3,Group 3,Group 3,Group 3
251,1,1,1,mon,10:00 AM,19,1/25/19 17:58
302,1,1,1,mon,10:00 AM,19,3/21/23 13:53
Group 4,Group 4,Group 4,Group 4,Group 4,Group 4,Group 4,Group 4
232,1,1,1,mon,10:00 AM,32,2/4/19 16:33
299,1,1,1,mon,10:00 AM,32,7/8/19 15:19
337,1,1,1,mon,10:00 AM,32,11/23/23 18:09
363,1,1,1,mon,10:00 AM,32,Not Deleted
432,1,1,1,mon,10:00 AM,32,11/18/19 22:55
Group 5,Group 5,Group 5,Group 5,Group 5,Group 5,Group 5,Group 5
650,1,1,1,mon,12:00 AM,6,7/30/20 14:50
653,1,1,1,mon,12:00 AM,6,7/30/20 14:50
Group 6,Group 6,Group 6,Group 6,Group 6,Group 6,Group 6,Group 6
273,1,1,1,thur,10:00 AM,24,3/20/23 19:52
284,1,1,1,thur,10:00 AM,24,5/27/19 17:42
Group 7,Group 7,Group 7,Group 7,Group 7,Group 7,Group 7,Group 7
586,1,1,1,thur,10:00 AM,26,Not Deleted
901,1,1,1,thur,10:00AM,26,Not Deleted
Group 8,Group 8,Group 8,Group 8,Group 8,Group 8,Group 8,Group 8
215,1,1,1,tue,2:00 PM,6,12/11/18 16:10
277,1,1,1,tue,2:00 PM,6,7/18/19 16:22
330,1,1,1,tue,2:00 PM,6,3/21/23 14:03
332,1,1,1,tue,2:00 PM,6,8/5/19 17:44
Group 9,Group 9,Group 9,Group 9,Group 9,Group 9,Group 9,Group 9
356,1,1,1,tue,2:30 PM,6,Not Deleted
1038,1,1,1,tue,02:30P.M,6,Not Deleted
Group 10,Group 10,Group 10,Group 10,Group 10,Group 10,Group 10,Group 10
75,1,1,1,tue,8:30 AM,6,12/10/18 19:36
221,1,1,1,tue,8:30 AM,6,3/20/23 19:50
226,1,1,1,tue,8:30 AM,6,7/18/19 16:14
329,1,1,1,tue,8:30 AM,6,3/21/23 14:03
453,1,1,1,tue,8:30 AM,6,8/28/19 22:25
Group 11,Group 11,Group 11,Group 11,Group 11,Group 11,Group 11,Group 11
187,1,1,1,tue,8:30 AM,8,1/8/19 18:10
230,1,1,1,tue,8:30 AM,8,7/11/19 21:36
295,1,1,1,tue,8:30 AM,8,3/20/23 19:52
Group 12,Group 12,Group 12,Group 12,Group 12,Group 12,Group 12,Group 12
280,1,1,1,tue,9:00 AM,31,3/20/23 19:52
455,1,1,1,tue,9:00 AM,31,Not Deleted
Group 13,Group 13,Group 13,Group 13,Group 13,Group 13,Group 13,Group 13
415,1,1,1,tue,10:00 AM,38,4/9/25 18:00
462,1,1,1,tue,10:00 AM,38,Not Deleted
Group 14,Group 14,Group 14,Group 14,Group 14,Group 14,Group 14,Group 14
269,1,1,1,tue,10:00 AM,9,8/5/19 23:35
399,1,1,1,tue,10:00 AM,9,Not Deleted
Group 15,Group 15,Group 15,Group 15,Group 15,Group 15,Group 15,Group 15
197,1,1,1,tue,11:00 AM,6,2/19/19 16:01
272,1,1,1,tue,11:00 AM,6,3/20/23 19:52
290,1,1,1,tue,11:00 AM,6,3/20/23 19:52
402,1,1,1,tue,11:00 AM,6,Not Deleted
Group 16,Group 16,Group 16,Group 16,Group 16,Group 16,Group 16,Group 16
271,1,1,1,tue,11:00 AM,8,3/20/23 19:52
331,1,1,1,tue,11:00 AM,8,7/27/19 16:09
Group 17,Group 17,Group 17,Group 17,Group 17,Group 17,Group 17,Group 17
178,1,1,1,wed,2:00 PM,6,12/10/18 19:36
233,1,1,1,wed,2:00 PM,6,3/20/23 19:50
282,1,1,1,wed,2:00 PM,6,3/20/23 19:52
Group 18,Group 18,Group 18,Group 18,Group 18,Group 18,Group 18,Group 18
292,1,1,1,wed,2:00 PM,9,6/17/19 19:15
416,1,1,1,wed,2:00 PM,9,Not Deleted
1103,1,1,1,wed,02:00P.M,9,Not Deleted
Group 19,Group 19,Group 19,Group 19,Group 19,Group 19,Group 19,Group 19
79,1,1,1,wed,8:30 AM,6,12/10/18 19:36
216,1,1,1,wed,8:30 AM,6,7/11/19 21:54
225,1,1,1,wed,8:30 AM,6,3/20/23 19:50
328,1,1,1,wed,8:30 AM,6,7/18/19 16:22
Group 20,Group 20,Group 20,Group 20,Group 20,Group 20,Group 20,Group 20
355,1,1,1,wed,8:30 AM,7,4/9/25 18:00
599,1,1,1,wed,8:30 AM,7,Not Deleted
Group 21,Group 21,Group 21,Group 21,Group 21,Group 21,Group 21,Group 21
236,1,1,1,wed,8:30 AM,8,1/8/19 17:12
258,1,1,1,wed,8:30 AM,8,3/20/23 19:52
Group 22,Group 22,Group 22,Group 22,Group 22,Group 22,Group 22,Group 22
239,1,1,1,wed,8:30 AM,9,3/20/23 19:50
265,1,1,1,wed,8:30 AM,9,8/14/19 20:32
340,1,1,1,wed,8:30 AM,9,1/5/24 19:25
Group 23,Group 23,Group 23,Group 23,Group 23,Group 23,Group 23,Group 23
395,1,1,1,wed,9:00 AM,6,Not Deleted
983,1,1,1,wed,09:00A.M,6,Not Deleted
Group 24,Group 24,Group 24,Group 24,Group 24,Group 24,Group 24,Group 24
254,1,1,1,wed,10:00 AM,35,8/9/19 13:05
389,1,1,1,wed,10:00 AM,35,4/9/25 18:00
444,1,1,1,wed,10:00 AM,35,Not Deleted
Group 25,Group 25,Group 25,Group 25,Group 25,Group 25,Group 25,Group 25
208,1,1,1,wed,11:00 AM,6,7/3/19 18:05
217,1,1,1,wed,11:00 AM,6,3/4/19 14:27
270,1,1,1,wed,11:00 AM,6,3/20/23 19:52
283,1,1,1,wed,11:00 AM,6,3/20/23 19:52
291,1,1,1,wed,11:00 AM,6,7/18/19 16:22
